RelationshipID,ClientID,AdvisorID,StartDate,EndDate
R1000,C1061,A103,2020-07-29,
R1001,C1057,A110,2011-01-16,
R1002,C1085,A118,2024-06-05,2025-06-20
R1003,C1128,A102,2013-05-22,
R1004,C1037,A102,2017-09-18,2024-11-20
R1005,C1151,A101,2005-10-11,2025-08-20
R1006,C1122,A118,2008-04-07,2025-08-19
R1007,C1042,A115,2020-01-04,
R1008,C1014,A108,2015-04-06,2025-04-09
R1009,C1093,A101,2008-09-11,2024-08-30
R1010,C1077,A103,2015-05-19,
R1011,C1084,A119,2009-07-03,
R1012,C1013,A118,2019-12-01,
R1013,C1010,A114,2008-02-16,2025-01-28
R1014,C1083,A116,2010-10-04,2025-07-04
R1015,C1196,A106,2020-10-22,2025-01-18
R1016,C1004,A106,2005-08-27,2025-06-12
R1017,C1037,A104,2006-10-19,2024-09-07
R1018,C1196,A108,2014-07-11,
R1019,C1060,A116,2020-11-10,2025-07-31
R1020,C1064,A101,2009-07-19,
R1021,C1001,A115,2006-06-02,2025-03-02
R1022,C1110,A118,2015-06-26,
R1023,C1012,A107,2008-05-25,2024-10-04
R1024,C1093,A116,2014-04-03,2025-05-07
R1025,C1041,A114,2019-05-04,
R1026,C1085,A109,2014-07-27,2025-08-26
R1027,C1002,A110,2017-12-25,
R1028,C1013,A111,2012-07-10,
R1029,C1058,A112,2022-08-12,
R1030,C1087,A105,2009-11-04,
R1031,C1032,A101,2007-07-09,2025-01-27
R1032,C1073,A112,2021-07-20,2025-05-10
R1033,C1143,A118,2019-01-28,2024-09-15
R1034,C1001,A114,2016-03-31,2025-05-09
R1035,C1191,A116,2010-01-18,2024-12-19
R1036,C1126,A110,2024-03-14,
R1037,C1113,A118,2017-01-19,2025-01-22
R1038,C1175,A108,2024-02-16,
R1039,C1078,A100,2018-07-21,
R1040,C1180,A119,2015-11-10,
R1041,C1170,A112,2017-06-26,
R1042,C1070,A101,2020-07-08,
R1043,C1099,A114,2009-02-16,
R1044,C1198,A116,2022-07-10,2025-06-07
R1045,C1124,A118,2008-08-08,2025-02-11
R1046,C1036,A111,2014-07-24,
R1047,C1163,A114,2023-05-12,2024-10-21
R1048,C1042,A101,2005-12-11,2024-10-14
R1049,C1103,A111,2010-02-17,
R1050,C1159,A102,2020-10-01,
R1051,C1102,A104,2017-07-02,2025-01-22
R1052,C1150,A103,2006-01-15,
R1053,C1057,A104,2023-03-04,2024-09-27
R1054,C1135,A115,2008-11-08,
R1055,C1016,A110,2019-12-28,2024-11-29
R1056,C1191,A115,2013-12-13,2024-10-19
R1057,C1138,A118,2014-03-02,
R1058,C1117,A112,2010-03-16,
R1059,C1109,A105,2014-09-13,2025-08-15
R1060,C1195,A106,2006-12-03,
R1061,C1161,A109,2012-07-13,
R1062,C1042,A104,2010-03-28,2024-09-29
R1063,C1083,A115,2011-09-14,2024-10-31
R1064,C1172,A101,2014-06-20,
R1065,C1105,A114,2006-06-22,
R1066,C1170,A112,2023-06-20,
R1067,C1113,A101,2006-05-05,
R1068,C1091,A104,2016-05-26,2025-02-05
R1069,C1167,A105,2017-11-29,2025-03-11
R1070,C1147,A113,2010-04-09,
R1071,C1071,A117,2006-05-27,
R1072,C1067,A106,2018-11-14,
R1073,C1173,A101,2010-02-27,2025-05-31
R1074,C1098,A109,2009-05-20,
R1075,C1054,A100,2007-12-22,
R1076,C1097,A119,2014-08-18,2025-03-28
R1077,C1108,A114,2006-01-07,
R1078,C1111,A104,2019-05-21,2024-11-15
R1079,C1191,A107,2017-01-23,2024-12-01
R1080,C1134,A104,2010-02-12,2025-03-27
R1081,C1096,A102,2006-04-05,
R1082,C1012,A115,2023-10-22,
R1083,C1073,A104,2010-01-28,
R1084,C1047,A115,2015-03-12,
R1085,C1164,A113,2005-10-08,2024-11-01
R1086,C1009,A109,2015-01-12,2025-01-06
R1087,C1049,A112,2007-11-15,2025-01-06
R1088,C1115,A101,2007-04-24,
R1089,C1036,A113,2021-01-22,2024-12-15
R1090,C1160,A113,2009-08-23,2025-07-09
R1091,C1124,A109,2015-10-31,
R1092,C1051,A112,2009-02-16,
R1093,C1009,A105,2010-08-20,
R1094,C1119,A106,2015-11-25,2024-11-02
R1095,C1103,A112,2024-03-08,
R1096,C1064,A105,2012-01-28,2025-06-10
R1097,C1112,A115,2005-11-02,
R1098,C1107,A117,2013-05-14,
R1099,C1007,A106,2019-05-30,
R1100,C1112,A116,2017-12-25,2024-10-21
R1101,C1072,A111,2008-03-15,2025-04-25
R1102,C1010,A112,2013-10-20,2025-01-10
R1103,C1176,A106,2013-02-16,
R1104,C1062,A110,2017-03-18,
R1105,C1028,A117,2019-06-28,
R1106,C1009,A101,2021-08-23,2025-05-13
R1107,C1017,A116,2006-10-24,
R1108,C1062,A104,2008-01-05,2025-05-26
R1109,C1013,A102,2019-01-16,2025-08-01
R1110,C1053,A107,2021-05-07,2024-09-25
R1111,C1075,A105,2010-09-03,
R1112,C1124,A109,2012-07-19,2025-04-03
R1113,C1192,A109,2023-12-01,2025-04-05
R1114,C1028,A116,2024-01-06,2025-01-22
R1115,C1179,A114,2014-03-08,2024-12-20
R1116,C1027,A100,2012-11-07,
R1117,C1130,A110,2007-09-06,
R1118,C1045,A104,2022-11-12,2025-05-04
R1119,C1182,A102,2008-11-25,
R1120,C1107,A113,2020-01-28,2025-01-19
R1121,C1108,A108,2020-07-20,2024-12-01
R1122,C1176,A108,2017-05-04,
R1123,C1054,A111,2022-05-28,
R1124,C1122,A101,2013-12-31,
R1125,C1181,A104,2024-07-30,
R1126,C1131,A102,2009-07-25,2025-02-25
R1127,C1194,A119,2013-09-08,2025-02-16
R1128,C1037,A115,2012-11-16,2024-10-27
R1129,C1144,A103,2013-01-25,2025-02-18
R1130,C1093,A101,2022-02-02,2025-05-18
R1131,C1196,A112,2023-10-17,2025-04-14
R1132,C1030,A113,2017-10-15,2024-08-30
R1133,C1160,A107,2010-08-15,2025-01-01
R1134,C1070,A100,2016-07-24,
R1135,C1057,A104,2011-11-22,2024-12-06
R1136,C1159,A118,2024-03-02,
R1137,C1056,A119,2008-08-21,
R1138,C1099,A107,2015-08-04,2025-06-07
R1139,C1166,A114,2016-07-31,2024-10-10
R1140,C1092,A107,2008-03-19,
R1141,C1035,A100,2006-10-21,
R1142,C1117,A117,2019-05-27,2024-12-28
R1143,C1063,A104,2005-12-01,
R1144,C1000,A111,2012-09-02,
R1145,C1177,A112,2005-11-25,
R1146,C1138,A108,2018-09-17,
R1147,C1088,A108,2007-04-17,2025-02-01
R1148,C1083,A118,2009-11-14,
R1149,C1133,A101,2007-10-31,2024-12-08
R1150,C1069,A101,2021-11-09,2025-02-19
R1151,C1136,A118,2007-02-02,
R1152,C1038,A118,2007-06-10,
R1153,C1049,A119,2024-05-11,
R1154,C1187,A114,2009-03-03,2024-10-06
R1155,C1102,A112,2018-02-25,2025-03-14
R1156,C1069,A109,2011-02-19,2024-09-07
R1157,C1028,A110,2011-05-01,
R1158,C1024,A115,2014-04-24,
R1159,C1119,A100,2022-01-05,
R1160,C1176,A101,2021-04-25,2025-01-08
R1161,C1015,A118,2018-10-04,2024-12-02
R1162,C1108,A105,2010-02-27,
R1163,C1093,A117,2016-02-13,
R1164,C1065,A113,2022-03-10,2025-05-24
R1165,C1130,A107,2023-07-13,2025-01-22
R1166,C1126,A105,2023-10-03,
R1167,C1086,A113,2019-07-25,2025-07-12
R1168,C1042,A106,2006-10-25,
R1169,C1056,A115,2011-08-14,2024-11-01
R1170,C1122,A100,2005-11-26,2025-07-08
R1171,C1144,A119,2009-06-25,
R1172,C1007,A104,2024-04-22,2025-03-03
R1173,C1084,A108,2019-07-20,2024-10-21
R1174,C1159,A114,2023-10-30,2024-12-06
R1175,C1161,A112,2012-02-20,2024-10-07
R1176,C1129,A111,2015-03-21,
R1177,C1045,A103,2009-07-21,
R1178,C1093,A107,2009-02-25,2025-02-02
R1179,C1093,A104,2021-02-17,2025-01-27
R1180,C1105,A101,2024-04-23,2025-05-31
R1181,C1163,A109,2018-07-09,2025-05-03
R1182,C1075,A111,2015-10-07,
R1183,C1031,A111,2019-12-26,2025-08-13
R1184,C1163,A116,2006-02-26,
R1185,C1000,A105,2016-08-18,
R1186,C1109,A112,2016-05-03,
R1187,C1103,A106,2021-05-05,
R1188,C1147,A109,2008-05-14,2024-09-03
R1189,C1057,A105,2020-10-24,2025-03-29
R1190,C1114,A106,2021-11-18,
R1191,C1168,A117,2007-02-22,2025-02-21
R1192,C1133,A103,2009-10-03,2025-01-13
R1193,C1061,A112,2024-04-18,
R1194,C1026,A103,2024-02-21,2025-01-15
R1195,C1049,A115,2010-04-29,2025-04-08
R1196,C1018,A106,2007-03-25,
R1197,C1080,A105,2012-09-12,2025-05-12
R1198,C1000,A112,2021-03-09,
R1199,C1192,A114,2008-03-22,
